Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Launch_Date,Launch_Year
107138,ICICI Prudential Interval Fund II - Quarterly Interval Plan - D,ICICI Prudential Asset Management Company Limited,Open Ended,Income,ICICI Prudential Interval Fund II - Quarterly Interval Plan D - Retail Dividend,5000,10.0799,12/3/2007,2007
107139,ICICI Prudential Interval Fund II - Quarterly Interval Plan - D,ICICI Prudential Asset Management Company Limited,Open Ended,Income,ICICI Prudential Interval Fund II - Quarterly Interval Plan D - Retail Growth,5000,22.795,12/3/2007,2007
107193,UTI - FIIF Monthly Interval Plan II,UTI Asset Mgmt. Co. Ltd.,Close Ended,Income,UTI Fixed Income Interval Fund - Monthly Interval Plan II-Regular Plan - Growth Option,10000,25.7798,11/19/2007,2007
107195,UTI - FIIF Monthly Interval Plan II,UTI Asset Mgmt. Co. Ltd.,Close Ended,Income,UTI FIIF Monthly Interval Plan II - Regular Plan - Monthly IDCW,10000,10.0163,11/19/2007,2007
107226,UTI - FIIF Half Yearly Plan II,UTI Asset Mgmt. Co. Ltd.,Close Ended,Income,UTI FIIF Half Yearly Plan II - Regular Plan - IDCW,10000,10.0636,11/19/2007,2007
107228,UTI - FIIF Half Yearly Plan II,UTI Asset Mgmt. Co. Ltd.,Close Ended,Income,UTI Fixed Income Interval Fund ( Half Yearly Plan-II)- Regular Plan - Growth Option,10000,26.0118,11/19/2007,2007
107247,Franklin India Ultra Short Bond Fund (no. of segregated portfolio-1),Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Ultra Short Duration Fund,Franklin India Ultra Short Bond Fund - Retail - Growth,5000,32.9262,12/18/2007,2007
107248,Franklin India Ultra Short Bond Fund (no. of segregated portfolio-1),Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Ultra Short Duration Fund,Franklin India Ultra Short Bond Fund - Institutional - Growth,5000,33.7757,12/18/2007,2007
107249,Franklin India Ultra Short Bond Fund (no. of segregated portfolio-1),Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Ultra Short Duration Fund,Franklin India Ultra Short Bond Fund - Super Institutional - Growth,5000,34.9131,12/18/2007,2007
107250,Franklin India Ultra Short Bond Fund (no. of segregated portfolio-1),Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Ultra Short Duration Fund,Franklin India Ultra Short Bond Fund - Super Institutional Plan - Daily - IDCW,5000,12.4788,12/18/2007,2007
107251,Franklin India Ultra Short Bond Fund (no. of segregated portfolio-1),Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Ultra Short Duration Fund,Franklin India Ultra Short Bond Fund - Institutional Plan - Daily - IDCW,5000,12.37,12/18/2007,2007
107252,Franklin India Ultra Short Bond Fund (no. of segregated portfolio-1),Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Ultra Short Duration Fund,Franklin India Ultra Short Bond Fund - Retail Plan - Daily - IDCW,5000,12.4137,12/18/2007,2007
107287,JM ELSS Tax Saver Fund,JM Financial Asset Management Limited,Open Ended,Equity Scheme - ELSS,JM ELSS Tax Saver Fund (Regular) - IDCW,5000,47.8292,12/24/2007,2007
107288,JM ELSS Tax Saver Fund,JM Financial Asset Management Limited,Open Ended,Equity Scheme - ELSS,JM ELSS Tax Saver Fund (Regular) - Growth option,5000,47.8299,12/24/2007,2007
107309,ICICI Prudential Interval Fund II - Quarterly Interval Plan - F,ICICI Prudential Asset Management Company Limited,Open Ended,Income,ICICI Prudential Interval Fund II - Quarterly Interval Plan F - Retail Dividend,5000,10.0742,12/24/2007,2007
107310,ICICI Prudential Interval Fund II - Quarterly Interval Plan - F,ICICI Prudential Asset Management Company Limited,Open Ended,Income,ICICI Prudential Interval Fund II - Quarterly Interval Plan F - Retail Growth,5000,20.25,12/24/2007,2007
107352,Invesco India Multicap Fund,Invesco Asset Management (India) Private Limited,Open Ended,Equity Scheme - Multi Cap Fund,Invesco India Multicap Fund - Regular Plan - IDCW (Payout / Reinvestment),5000,110.5,1/7/2008,2008
107353,Invesco India Multicap Fund,Invesco Asset Management (India) Private Limited,Open Ended,Equity Scheme - Multi Cap Fund,Invesco India Multicap Fund - Regular Plan - Growth Option,5000,121.87,1/7/2008,2008
107471,Invesco India Gilt Fund,Invesco Asset Management (India) Private Limited,Open Ended,Debt Scheme - Gilt Fund,Invesco India Gilt Fund - Regular Plan - Monthly IDCW (Reinvestment),5000,1598.0182,1/30/2008,2008
107472,Invesco India Gilt Fund,Invesco Asset Management (India) Private Limited,Open Ended,Debt Scheme - Gilt Fund,Invesco India Gilt Fund - Regular Plan - Quarterly IDCW (Payout / Reinvestment),5000,1293.4878,1/30/2008,2008
107476,Invesco India Gilt Fund,Invesco Asset Management (India) Private Limited,Open Ended,Debt Scheme - Gilt Fund,Invesco India Gilt Fund - Regular Plan - Annual IDCW (Payout / Reinvestment),5000,1142.1998,1/30/2008,2008
107477,Invesco India Gilt Fund,Invesco Asset Management (India) Private Limited,Open Ended,Debt Scheme - Gilt Fund,Invesco India Gilt Fund - Regular Plan - Growth,5000,2837.0307,1/30/2008,2008
107524,HDFC Infrastructure Fund,HDFC Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,HDFC Infrastructure Fund - Growth Plan,5000,46.449,1/8/2008,2008
107525,HDFC Infrastructure Fund,HDFC Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,HDFC Infrastructure Fund - IDCW Plan,5000,19.92,1/8/2008,2008
107578,Mirae Asset Large Cap Fund,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Equity Scheme - Large Cap Fund,Mirae Asset Large Cap Fund - Growth Plan,5000,106.87,2/11/2008,2008
107579,Mirae Asset Large Cap Fund,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Equity Scheme - Large Cap Fund,Mirae Asset Large Cap Fund Regular IDCW,5000,27.373,2/11/2008,2008
